"Country Name","Indicator Name","Year","Observation Value","Nature","Obs_Status","Date Updated","Country Files","Footnote"
"Equatorial Guinea","Beach litter originating from national land-based sources ends in the Ocean","2018","1.5","M","A","2022-02-02","-","-"
"Equatorial Guinea","Beach litter originating from national land-based sources ends in the Ocean","2019","1.3","M","A","2022-02-02","-","-"
"Equatorial Guinea","Beach litter originating from national land-based sources ends in the Ocean","2020","1.5","M","A","2022-02-02","-","-"
"Equatorial Guinea","Beach litter originating from national land-based sources ends in the Ocean","2021","3.5","M","A","2022-02-02","-","-"
"Equatorial Guinea","Beach litter originating from national land-based sources ends in the Ocean","2022","2.6","M","A","2023-10-08","-","-"
"Eritrea","Beach litter originating from national land-based sources ends in the Ocean","2017","11.2","M","A","2022-02-02","-","-"
"Eritrea","Beach litter originating from national land-based sources ends in the Ocean","2018","13.9","M","A","2022-02-02","-","-"
"Eritrea","Beach litter originating from national land-based sources ends in the Ocean","2019","4.1","M","A","2022-02-02","-","-"
"Eritrea","Beach litter originating from national land-based sources ends in the Ocean","2020","14","M","A","2022-02-02","-","-"
"Eritrea","Beach litter originating from national land-based sources ends in the Ocean","2021","4.9","M","A","2022-02-02","-","-"
"Eritrea","Beach litter originating from national land-based sources ends in the Ocean","2022","6.5","M","A","2023-10-08","-","-"
"Estonia","Beach litter originating from national land-based sources ends in the Ocean","2017","5.2","M","A","2022-02-02","-","-"
"Estonia","Beach litter originating from national land-based sources ends in the Ocean","2018","5","M","A","2022-02-02","-","-"
"Estonia","Beach litter originating from national land-based sources ends in the Ocean","2019","13.8","M","A","2022-02-02","-","-"
"Estonia","Beach litter originating from national land-based sources ends in the Ocean","2020","2","M","A","2022-02-02","-","-"
"Estonia","Beach litter originating from national land-based sources ends in the Ocean","2021","17.1","M","A","2022-02-02","-","-"
"Estonia","Beach litter originating from national land-based sources ends in the Ocean","2022","12.3","M","A","2023-10-08","-","-"
"Fiji","Beach litter originating from national land-based sources ends in the Ocean","2017","27.1","M","A","2022-02-02","-","-"
"Fiji","Beach litter originating from national land-based sources ends in the Ocean","2018","32.8","M","A","2022-02-02","-","-"
"Fiji","Beach litter originating from national land-based sources ends in the Ocean","2019","23.6","M","A","2022-02-02","-","-"
"Fiji","Beach litter originating from national land-based sources ends in the Ocean","2020","24.1","M","A","2022-02-02","-","-"
"Fiji","Beach litter originating from national land-based sources ends in the Ocean","2021","30.1","M","A","2022-02-02","-","-"
"Fiji","Beach litter originating from national land-based sources ends in the Ocean","2022","39","M","A","2023-10-08","-","-"
"Finland","Beach litter originating from national land-based sources ends in the Ocean","2017","5.7","M","A","2022-02-02","-","-"
"Finland","Beach litter originating from national land-based sources ends in the Ocean","2018","9","M","A","2022-02-02","-","-"
"Finland","Beach litter originating from national land-based sources ends in the Ocean","2019","9.2","M","A","2022-02-02","-","-"
"Finland","Beach litter originating from national land-based sources ends in the Ocean","2020","2.9","M","A","2022-02-02","-","-"
"Finland","Beach litter originating from national land-based sources ends in the Ocean","2021","18.5","M","A","2022-02-02","-","-"
