Country Name,Indicator Name,Year,Observation Value,Nature,Obs_Status,Date Updated,Country Files,Footnote,Continent
Colombia,Beach litter count per km2 of coastline,2017,4037824.0,E,A,2022-05-19,-,-,South America
Colombia,Beach litter count per km2 of coastline,2018,426618.7,E,A,2022-05-19,-,-,South America
Colombia,Beach litter count per km2 of coastline,2021,178341.5,E,A,2024-04-30,-,-,South America
Colombia,Beach litter count per km2 of coastline,2022,564627.9,E,A,2024-04-30,-,-,South America
Costa Rica,Beach litter count per km2 of coastline,2015,13522727.3,E,A,2022-05-19,-,-,North America
Costa Rica,Beach litter count per km2 of coastline,2016,2798832.2,E,A,2022-05-19,-,-,North America
Costa Rica,Beach litter count per km2 of coastline,2017,2260979.6,E,A,2022-05-19,-,-,North America
Costa Rica,Beach litter count per km2 of coastline,2018,1672655.8,E,A,2022-05-19,-,-,North America
Costa Rica,Beach litter count per km2 of coastline,2021,209337.9,E,A,2024-04-30,-,-,North America
Costa Rica,Beach litter count per km2 of coastline,2022,864375.7,E,A,2024-04-30,-,-,North America
